R,p,tau,N,bias1,bias2,bias3,bias4,bias5,bias6,mse,se1,se2,se3,se4,se5,se6,se_asym1,se_asym2,se_asym3,se_asym4,se_asym5,se_asym6,mse_asym,mse_asym_hat,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,sigma.frob
7,0.333,1000,35,0.303353268963912,-0.0212974670533939,0.0506435345400225,0.00452504151385646,0.60566281033079,0.189948935486278,191.458761760399,2.38613861140845,0.222697450932454,0.838346606044333,4.82716850981073,3.32699871996797,1.10317475785759,2.99413274997578,0.207899361348945,0.653467279154977,3.85183395032826,2.42057312714155,0.519940643227558,29.4381699198493,30.4012098710741,0.571428571428571,0.285714285714286,0.142857142857143,0.714285714285714,0.571428571428571,0.428571428571429,14.6644343101066
7,0.333,1000,40,0.286067262218223,0.101096960934749,0.116337101416311,9.70901129478243,0.457959374442053,0.509918622141782,800.96188707396,1.77032161395366,0.201754202579463,0.786914083784968,25.6173847424164,2.11716360403694,1.27488951171732,2.17371952328624,0.184061824644814,0.580337583870392,5.31987898554906,2.06244573271187,0.701401306022257,506.074966172443,38.1424856458175,0.857142857142857,0.285714285714286,0.142857142857143,0.714285714285714,0.714285714285714,0.571428571428571,628.673645257455
7,0.333,1000,45,0.527152909614173,0.102084849104122,0.920643261065987,-2.30300765391106,14.8940674460159,0.758816609150891,1502.87960371516,1.85843811602551,0.195264879343312,0.595654145983641,2.53280749199604,35.9306459216901,2.15916963713626,2.50083702681549,0.266105929257631,0.787460315804832,0.859487820607088,1.88832515530678,1.02212197619701,4298.91729123829,12.294316489406,0.571428571428571,0.285714285714286,0.285714285714286,0.714285714285714,0.571428571428571,0.285714285714286,1291.41619644641
7,0.333,1000,50,0.500795002593668,0.0246842578574586,0.438430336377539,-0.971479249069997,-0.32398109270803,-0.112742439527382,156.056522391914,1.19414484543929,0.150366114168623,0.673413972130164,2.22956592744875,1.6687685397462,0.342374461258362,2.27011413989837,0.158916731947963,0.515488605988411,2.12057519659686,3.79191009153341,0.537040837275775,14.5039056931388,24.6082354063599,0.714285714285714,0.285714285714286,0.285714285714286,0.714285714285714,0.714285714285714,0.571428571428571,12.6286717363584
7,0.333,1000,60,0.481664606321003,0.0168025589840433,0.186259505287613,-1.58447586478464,-0.0374641137634306,0.288445166871229,152.380105422474,2.41032888580524,0.33527988940909,0.354754159157725,2.09400083524146,1.70418077065986,0.531746033994981,1.4495592855088,0.193096803986662,0.622292306829989,3.07164808486847,2.88854246325314,0.431640867242994,11.4570222356621,20.4907695706214,0.571428571428571,0.142857142857143,0.285714285714286,0.714285714285714,0.714285714285714,0.428571428571429,9.47228543998248
7,0.333,1000,70,0.202975031562099,-0.0397725175886308,0.265653864053315,-0.920482068563487,-0.24551824528152,0.227935838037423,168.480693021779,1.36286242094509,0.217358263103032,0.499252842327917,2.85086906348774,2.112579641613,0.649901317606666,1.8788219746935,0.117375357062343,0.501382486232182,2.50691054955609,3.34634093915137,0.318551491073904,9.30421965169892,21.3792066215186,0.571428571428571,0.285714285714286,0.285714285714286,0.428571428571429,0.571428571428571,0.285714285714286,9.87371872414598
7,0.333,1000,80,-0.218497710465202,0.0362421665824595,0.370418183235486,0.608713412024329,0.259014325923202,-0.00201936429777838,163.389442399361,1.69492797070912,0.159310145460867,0.643167920872922,5.27279999666664,1.90263567503608,0.460183799151287,1.69422883917685,0.173832693307276,0.641241551892432,2.96979136006056,2.12397349353361,0.246191376926948,175.320633214706,16.7033542102313,0.571428571428571,0.285714285714286,0.142857142857143,0.428571428571429,0.714285714285714,0.428571428571429,19.430472558172
7,0.333,1000,90,-0.118561019546746,-0.119299426413439,-0.047001792445194,1.62351283275924,0.583766948039784,-0.107050231346074,181.288827421597,0.886610189494243,0.141631858471373,0.523067033175146,3.11192817469202,1.18809666704643,0.267114652899887,1.69091132105903,0.138723814689944,0.334836652278392,1.78787987269308,2.34075584480795,0.483255875645162,12.6695348620157,11.8997295816859,0.714285714285714,0.285714285714286,0.142857142857143,0.428571428571429,0.714285714285714,0.428571428571429,9.09698894117862
7,0.333,1000,100,-0.505154473315208,-0.0551038422573598,0.0168907656788102,0.40832734158146,0.455499722558674,0.0904425208900932,176.96103880345,1.27192536550866,0.093331638483946,0.459421696960056,4.05402718506893,1.9694617105959,0.346006717421132,1.15736249663892,0.138742682262347,0.455460121808314,1.8125760625994,1.69266630595788,0.42544137138909,15.7797141876559,7.8977329695881,0.571428571428571,0.285714285714286,0.285714285714286,0.285714285714286,0.571428571428571,0.428571428571429,14.4271126030468
7,0.333,1000,250,0.382056781869764,-0.0552212586821366,-0.0215632031436575,0.639071839279103,0.418132399243953,-0.00824755975219027,165.702739841539,0.970671362326345,0.102810788168842,0.208613980450371,2.18997148891845,0.524670273699691,0.238691368571173,0.813188876212177,0.0983998043212685,0.246553313504346,1.4833317387263,1.10105936953271,0.184787379749232,4.75688352345203,4.17849836434881,0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.428571428571429,2.86389422295147
7,0.333,1000,500,0.0936969483167918,0.000408995340404061,0.0788296505623989,-0.179641500953977,-0.203754716419857,-0.0114062504721648,145.144720415683,0.295160107040656,0.0857946030813472,0.143933751443882,1.02107712784057,0.316055334076493,0.203039003878605,0.51863725335507,0.0656639147261572,0.175289434631905,1.23034888925067,0.752656553068431,0.223552728235357,3.38369756074645,2.4342488346171,0.428571428571429,0.285714285714286,0.285714285714286,0.285714285714286,0.428571428571429,0.428571428571429,0.741515807741393
7,0.333,1000,1000,-0.0984655989388497,0.0174852699064978,0.0579258234935818,-0.163452084079919,0.0997716338542656,-0.0412150450763633,146.845453539988,0.340006676394384,0.0316815822238664,0.179002224027934,0.744832841842276,0.526839910808951,0.102110849354768,0.415103097099848,0.0471574260164085,0.130150014627727,0.645947074454071,0.547542836651991,0.101943517946145,1.36302921460943,0.918916692173894,0.571428571428571,0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.202495215275385
